Week,GeoCode,KPI,seasonality,base_price,acv_distribution,price_discount,feature,display,feature_display,video,audio,digital_display,search,OOH,PR,samples
2017-11-06,geo1,53.12718925,1.042755603,4.300139088,55.28960402,10.02918295,2.625701916,3.361524729,0,0.327880096,0,0.724016725,36.1,0,9.76441931,0
2017-11-13,geo1,52.3489956,0.999794045,4.322991123,54.54035078,8.722567083,1.595128843,2.947614331,0,0.407550961,0,0.913080415,36,0,0.004510295,0
2017-11-20,geo1,43.31678576,0.860915146,4.321257457,54.39796907,8.911662332,2.262347855,1.774676299,0,0.290400949,0,1.834176841,27.3,0,6.898641487,0
2017-11-27,geo1,46.74938164,0.856772988,4.35427296,54.42815535,10.08714424,2.393050749,2.577075201,0,0.384588936,0,0.273441765,34.5,0,4.045028889,0
2017-12-04,geo1,45.92385769,0.971044797,4.305902325,54.50835146,10.15066417,2.15003452,0.626536631,0,0.372635742,0,0,34.8,0,15.40851482,0
2017-12-11,geo1,42.490434179999994,0.898476671,4.296266639,53.22027533,8.454869523,1.847283545,0,0,0.295300299,0,0,26.200000000000003,0,7.575068541,0
2017-12-18,geo1,42.137130770000006,0.835061797,4.272134029,53.33355649,7.908217546,1.652374135,0,0,0.26539314,0,0,20.3,0,5.040304255,0
2017-12-25,geo1,35.054348080000004,0.67040908,4.334768392,53.52576713,9.275569972,4.889718075,4.978982425,0,0.278824699,0,0,20.5,0,19.22673846,0
2018-01-01,geo1,47.23129083,0.938309853,4.339424112,55.43566855,9.382340564,1.703177015,0,6.709591732,0,0,0,53,0,25.0873205,0
2018-01-08,geo1,52.08782963,1.045720626,4.361185691,55.05923171,7.975227947,1.777319396,0,0,0,0,0,76.7,0,10.24005114,0
2018-01-15,geo1,50.69500866,1.037485009,4.360549479,55.15713773,8.246761268,4.689365669,0,0,0,0,0,92.8,0,18.16852625,0
2018-01-22,geo1,52.34207587,1.027178862,4.362073836,55.36710979,8.936897588,1.585270473,0,0,0,0,0,117.1114,0,0.25000491,0
2018-01-29,geo1,55.78232531,1.070085219,4.402678312,55.66499784,8.248274769,5.726901849,1.298377985,5.24112589,0,0,0,113.7131,0,5.243408569,0
2018-02-05,geo1,52.487047,1.024879983,4.423302861,55.24648826,6.829657643,3.378912005,0.233727025,0,0,0,0,117.23879999999998,0,10.6271109,0
2018-02-12,geo1,46.92554377,0.992148724,4.375685488,54.14997927,8.764267165,2.469728032,1.26077318,0,0,0,0,110.7822,0,0.00752792,0
2018-02-19,geo1,48.46885471,0.996118484,4.349475836,54.01981877,8.811248373,3.19945685,0,0,0,0,0,114.73259999999999,0,0,0
2018-02-26,geo1,51.3208062,1.055146742,4.385911279,54.69457063,9.102758112,3.67869838,1.558607672,3.733901038,0,0,0,134.6972,0,19.31397135,0
2018-03-05,geo1,52.099819499999995,1.078962701,4.367661111,53.97854762,9.232782623,3.459332321,1.101207678,1.088956242,0,0,0,107.51140000000001,0,12.69380427,0
2018-03-12,geo1,47.8623884,1.083286821,4.3369617,54.12578363,9.220938166,0,1.316331966,0,1.187540614,0,0,114.52019999999999,0,7.663546874,0
2018-03-19,geo1,47.32439823,1.041123976,4.314537142,53.52162632,9.5476974040000009,0,0,0,5.21579671,0,0,114.90249999999999,0,0,0
2018-03-26,geo1,48.72211467,1.013683588,4.325349569,53.94054226,7.550205278,1.946448503,0,0,4.447216567,0,0,115.9645,0,8.652590318,0
2018-04-02,geo1,48.418640350000004,1.032566736,4.354817749,54.66593976,7.664977299,3.64002546,0,0,7.512803698,0,0,146.37859999999998,0,89.27038388,0
2018-04-09,geo1,49.05697982,1.011210818,4.338119184,53.70013179,6.567997515,1.926634074,0,0,7.773074667,0,0,137.2458,0,9.13227921,0
2018-04-16,geo1,47.52797067,0.982411909,4.318452718,52.77727526,8.084812596,3.306968903,0,0,7.888712895,0,0,139.53959999999998,0,0.0849977,0
2018-04-23,geo1,47.17883063,1.069780649,4.325257188,52.88517838,8.546305637,1.654950449,0,0,7.428030706,0,0,118.51310000000001,0,0,0
2018-04-30,geo1,46.78552717,1.067825201,4.336264741,53.58303271,9.19617395,1.543210748,0,0.708363527,7.448301973,0,0,114.4777,0,0,0
2018-05-07,geo1,46.18024613,1.016148041,4.318352167,52.63890804,10.08326332,2.960309585,0,0,8.598378846,0,0,103.391,0,0,0
2018-05-14,geo1,45.02856473,0.983749318,4.365851996,52.4107418,11.96377462,2.209138877,0,0,8.52755727,0,0,94.7,0,9.460343935,0
2018-05-21,geo1,45.24032753,1.003139964,4.348200589,52.26022613,10.69002125,3.211544951,0,0,8.061909424,0,0,95.3,0,0.008690538,0
2018-05-28,geo1,41.42761358,0.957950929,4.337854635,52.3464679,9.725756756,2.027343881,0,0,7.719290097,0,0,100.0353,0,1.615341569,0
2018-06-04,geo1,46.17467144,1.003429345,4.337480947,52.1721589,8.48331696,6.07263486,0,0,3.466377289,0,0,103.1362,0,3.85e-4,0
