Delta,rc_fb_total_imp,rc_DIS_IMP,rc_US_YT_percinview,rc_RelAVG_P_CapM,fb_total_spd,DIS_COST,US_YT_Spend
0,6016.904766182648,293.1909347284818,1032.6105163608445,-29059.240547570866,2509698.71,1433416.10825,724848.7
0.050000000000000044,6193.925761947874,301.5599023877876,1074.9030386825325,-30512.20257494948,2635183.6455,1505086.9136625002,761091.135
0.10000000000000009,6365.453095399076,309.68802003294695,1116.5341654195217,-31965.164602327975,2760668.5810000002,1576757.7190750001,797333.5700000001
0.15000000000000013,6531.8310982080875,317.59016303066164,1157.525492909248,-33418.12662970647,2886153.5165000004,1648428.5244875003,833576.005
0.20000000000000018,6693.372064261697,325.2797878286801,1197.8975318847224,-34871.088657085085,3011638.4520000005,1720099.3299000002,869818.4400000001
0.25,6850.36015636113,332.76911429327447,1237.669781358214,-36324.05068446358,3137123.3875,1791770.1353125,906060.875
0.30000000000000004,7003.054729486117,340.06927875604015,1276.8607961749658,-37777.012711842195,3262608.323,1863440.940725,942303.3099999999
0.3500000000000001,7151.693172900006,347.19046338042244,1315.488248888636,-39229.97473922069,3388093.2585,1935111.7461375003,978545.745
0.40000000000000013,7296.493352928199,354.1420062171528,1353.5689865312306,-40682.936766599305,3513578.194,2006782.5515500002,1014788.18
0.4500000000000002,7437.655722360825,360.93249538715463,1391.1190827841638,-42135.8987939778,3639063.1295000003,2078453.3569625004,1051030.615
0.5,7575.365149993217,367.5698501254665,1428.1538859979482,-43588.8608213563,3764548.065,2150124.1623750003,1087273.0499999998
0.55,7709.7925140041625,374.06139087234624,1464.6880634577246,-45041.82284873491,3890033.0005,2221794.9677875,1123515.4849999999
0.6000000000000001,7841.096095068962,380.4139001801377,1500.7356422471348,-46494.78487611341,4015517.936,2293465.7732,1159757.92
0.6500000000000001,7969.42279886303,386.6336758728139,1536.3100470246281,-47947.74690349202,4141002.8715000004,2365136.5786125003,1196000.355
0.7000000000000002,8094.909232588601,392.726577635156,1571.424134994042,-49400.70893087052,4266487.807,2436807.3840250005,1232242.79
0.75,8217.682656079414,398.69806800200604,1606.0902283183532,-50853.670958249015,4391972.7425,2508478.1894375,1268485.2249999999
0.8,8337.86182472785,404.5532485512085,1640.320144201978,-52306.63298562763,4517457.678,2580148.9948500004,1304727.66
0.8500000000000001,8455.557738756528,410.29689197137486,1674.1252228439553,-53759.595013006125,4642942.6135,2651819.8002625,1340970.095
0.9000000000000001,8570.874311126187,415.93347056710627,1707.5163534433814,-55212.55704038474,4768427.549000001,2723490.605675,1377212.53
0.9500000000000002,8683.908964515198,421.4671816729242,1740.5039984183386,-56665.519067763234,4893912.4845,2795161.4110875004,1413454.965
1,8794.753166275448,426.90197037835605,1773.0982159888372,-58118.48109514173,5019397.42,2866832.2165,1449697.4
1.0500000000000003,8903.492908982094,432.24154990375973,1805.3086812549736,-59571.443122520344,5144882.3555000005,2938503.0219125003,1485939.8350000002
1.1,9010.20914312196,437.48941991699394,1837.1447058910271,-61024.4051498989,5270367.291,3010173.8273250004,1522182.27
