Week,KPI,predicted,residual
2016-06-13,11306.49,11332.66740801238,-26.1774080123796
2016-06-20,12191.04,11356.339476181629,834.700523818372
2016-06-27,16450.66,14939.411925240875,1511.2480747591253
2016-07-04,10618.76,10873.75240654458,-254.99240654457935
2016-07-11,13129.04,11842.359491989013,1286.680508010988
2016-07-18,13355.72,11737.426846920831,1618.2931530791684
2016-07-25,12094.36,11773.459878901615,320.9001210983861
2016-08-01,11220.74,11275.836992514416,-55.09699251441634
2016-08-08,10975.62,11475.529817249519,-499.9098172495178
2016-08-15,10893.71,11372.346602321823,-478.6366023218234
2016-08-22,10542.73,11046.667183757785,-503.93718375778553
2016-08-29,12753.33,12765.337139466941,-12.007139466941226
2016-09-05,9347.5,9594.450123779357,-246.95012377935745
2016-09-12,9800.28,9897.713561932389,-97.43356193238833
2016-09-19,9341.86,9919.30796637082,-577.4479663708189
2016-09-26,9563.83,10137.43226641012,-573.6022664101201
2016-10-03,9305.65,10051.236016876597,-745.5860168765976
2016-10-10,8855.96,9702.588947424298,-846.6289474242985
2016-10-17,9153.43,9967.340425501196,-813.9104255011953
2016-10-24,9868.61,11193.374217084453,-1324.764217084452
2016-10-31,9754.92,9973.100284242055,-218.18028424205477
2016-11-07,10238.62,10045.916968110352,192.70303188964863
2016-11-14,10078.72,10528.45751531325,-449.7375153132507
2016-11-21,12789.45,13012.100394906767,-222.65039490676645
2016-11-28,11081.17,10777.211836793003,303.9581632069967
2016-12-05,11307.97,11663.57392066201,-355.60392066200984
2016-12-12,13003.97,13737.523153016977,-733.5531530169774
2016-12-19,19320.26,18911.44281069062,408.8171893093786
2016-12-26,14074.09,14801.708634536155,-727.6186345361548
2017-01-02,6879.31,7816.421958044764,-937.1119580447639
2017-01-09,8394.7,8805.18834350919,-410.4883435091888
2017-01-16,7934.16,8536.647462997777,-602.4874629977767
2017-01-23,8174.58,9032.059892370831,-857.4798923708313
2017-01-30,9285.12,9431.67679837478,-146.55679837477874
2017-02-06,8198.91,8969.583875642275,-770.6738756422747
2017-02-13,8757.38,9018.638771301103,-261.2587713011035
2017-02-20,8774.83,9245.094477282504,-470.26447728250423
2017-02-27,9517.85,9379.653262518244,138.19673748175592
2017-03-06,9331.14,9284.02077787466,47.11922212533864
2017-03-13,9395.24,9506.4994384795,-111.25943847950111
2017-03-20,9357.39,9583.118504818614,-225.72850481861497
2017-03-27,9696.17,9849.232715575401,-153.06271557540094
