GeoCode,Variables,Estimate,Error,Tvalue
geo8,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo9,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo1,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo10,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo2,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo3,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo4,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo5,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo6,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo7,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo8,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo9,audio_t,1.0035082661996508,0.2250668162528625,4.458712674338493
geo1,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo10,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo2,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo3,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo4,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo5,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo6,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo7,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo8,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo9,digital_display_t,0.3568985982119447,0.041062982238791484,8.691492403948898
geo1,search_t,0.11478943532774778,0.02503810130663659,4.584590257941073
geo10,search_t,0.034837477458674125,0.022499942758973306,1.5483362705347519
geo2,search_t,-0.007843846301126552,0.02484985514193241,-0.3156495784915303
geo3,search_t,-0.012558837409902998,0.023030542738645597,-0.5453122643449075
geo4,search_t,0.021177606350622935,0.02514330854057528,0.8422760400226307
geo5,search_t,0.08039910584024754,0.025175347743089837,3.1935648579994527
geo6,search_t,0.09985315802359737,0.024870901391124713,4.014858828527638
geo7,search_t,0.05518443267630704,0.024200181043809575,2.2803313981993227
geo8,search_t,0.05118271165567539,0.02495896157258571,2.0506747248608765
geo9,search_t,0.07769912347043799,0.02313550290667939,3.358436762055675
geo1,OOH_t,0.1556309990331588,0.12450479922652703,1.25
geo10,OOH_t,0.21610409511062112,0.03408621340854337,6.339926718186209
geo2,OOH_t,-0.02288898898144143,0.05150142303794154,-0.4444341074726987
geo3,OOH_t,-0.09969005445363849,0.02958960417021174,-3.369090504900969
geo4,OOH_t,0.1556309990331588,0.12450479922652703,1.25
geo5,OOH_t,0.1556309990331588,0.12450479922652703,1.25
geo6,OOH_t,0.1556309990331588,0.12450479922652703,1.25
geo7,OOH_t,0.04598488636312725,0.028631930944725232,1.6060700359994022
geo8,OOH_t,0.1556309990331588,0.12450479922652703,1.25
geo9,OOH_t,0.1960696671455968,0.03430689043576589,5.715168721359506
geo1,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo10,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo2,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo3,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo4,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo5,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo6,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo7,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo8,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo9,PR_t,0.0929935258382148,0.014442833059516252,6.438731615535929
geo1,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
geo10,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
geo2,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
geo3,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
geo4,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
geo5,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
geo6,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
geo7,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
geo8,samples_t,9.417034083856297e-7,9.407993454070383e-7,1.0009609519638858
geo9,samples_t,9.452332826974613e-7,9.452332826974614e-7,0.9999999999999999
