Week,GeoCode,KPI,d_Intercept,d_seasonality_t,d_base_price_t,d_acv_distribution_t,d_price_discount_t,d_feature_t,d_display_t,d_feature_display_t,d_video_t,d_audio_t,d_digital_display_t,d_search_t,d_OOH_t,d_PR_t,d_samples_t
2018-06-11,geo8,5.017521186,-3.072483000531702,4.694723119911054,-2.5362849328534263,6.2821550629423655,0,0,0,0,-0.2685403689979774,0,5.662249653391919e-16,0.24888513175332508,0,0.16788732958598215,0
2018-06-18,geo8,5.14143807,-3.072483000531702,5.336737323692928,-2.5259346212123486,6.067237213201103,0,0,0,0,-0.2624307157699088,0,1.617785615254835e-16,0.2476642118546855,0,0.11151804228141639,0
2018-06-25,geo8,5.128295846,-3.072483000531702,4.8377249377490115,-2.5197476626439923,6.01138748245068,0,0,0,0,-0.26738807467064674,0,8.088928076274175e-17,0.2775764882641874,0,0.09753734939420936,0
2018-07-02,geo8,5.237347538,-3.072483000531702,4.879981339139121,-2.4914605922600295,5.945310931800285,0,0,0,0,-0.20948146538642512,0,0,0.2541457342582875,0,0.0962647958733443,0
2018-07-09,geo8,5.275875704,-3.072483000531702,5.130093378603943,-2.487888853513372,6.003845605873104,0,0,0,0,-0.16996306013096335,0,0,0.25201013611110357,0,0.057682033279906564,0
2018-07-16,geo8,5.889519937,-3.072483000531702,5.183191504766398,-2.495243737065465,6.095242826708947,0,0,0,0,-0.159802407672127,0,0,0.2532116006481768,0,0.13472122524890257,0
2018-07-23,geo8,5.334963839,-3.072483000531702,4.729260220954761,-2.5006006637823117,6.080861702349158,0,0,0,0,-0.15538401957536863,0,0,0.2535509913703397,0,0.11305185311126699,0
2018-07-30,geo8,6.173885332,-3.072483000531702,5.013592803981339,-2.510354610953791,5.95630547739908,0,0,0,0,-0.17614880911972677,0,0,0.2520714785080675,0,0.06119920247556879,0
2018-08-06,geo8,6.068329025,-3.072483000531702,5.854487405552792,-2.520724018477334,5.9494937498185445,0,0,0,0,-0.17464784863586583,0,0,0.2504387292222187,0,0.18049650060131495,0
2018-08-13,geo8,5.464516476,-3.072483000531702,5.074954752805773,-2.5210260461608285,5.942564087297425,0,0,0,0,-0.2414060644024378,0,0,0.24868235289932605,0,0.2883519610704439,0
